Player,Lvl,Frn,Pos,%,Age,Durability,Health,Contact,Power,LH,RH,BattingEye,BaseRunning,Speed,Range,Glove,ArmStrength,ArmAccuracy,PitchCalling,$,team,teamid,xAVG,xOBP,xSLG,xPA,xInn,xFld%,xOPS+,xwRC+,xBtR,xBsR,xFRAA,xFR,xcFR,xpcR,xOPS,RLR,pos_adj,xWAR
Adeiny Cortez,LoA,LAA,1B,100,23,67,99,66,87,53,48,74,17,10,34,44,35,35,26,$27K  26250,Anaheim Dirty Halos,6878,0.26177056300421125,0.3361668491230568,0.4772601984652852,495.12505330424756,935.1560032591224,0.715214,103.36132004396545,90.37949945324185,-2.3231696701416937,-5.821743289250321,0.4049177522017475,0.8687273707220093,0.0,0.09910504897532992,0.8134270475883421,16.504168443474917,-8.017455446323066,0.1220087323628741
Alan Scelfo,---,LAA,2B,100,24,74,95,46,52,40,49,62,72,86,79,55,49,50,7,$327K  327000,Anaheim Dirty Halos,6878,0.24558292257844094,0.31266964605837766,0.38897013102180933,506.0026659499854,937.0493031982332,0.9484200000000002,77.98837012057679,80.84650681765604,-36.53182127027673,4.519169604455808,0.9706191799620488,0.8953065567026955,0.0,0.09929249215173076,0.701639777080187,16.86675553166618,1.6067374883371623,-1.2743704560240192
Alberto Prado,AAA,LAA,CF,100,26,90,99,55,41,65,15,26,70,98,87,80,54,61,17,$55K  54500,Anaheim Dirty Halos,6878,0.2252152302127727,0.26920712923530316,0.32845155745246446,531.5530971717089,1058.4323236327618,0.9672044999999995,50.58366949325913,76.35931138397356,-84.67604192004333,7.971088341116534,1.2163039648801843,0.6556937044606705,0.0,0.09869691517786595,0.5976586866877676,17.718436572390296,1.8148702394251746,-5.696227729450129
Alex Latos,HiA,LAA,RF,100,24,86,70,48,28,30,28,40,71,86,57,37,61,57,9,$27K  26250,Anaheim Dirty Halos,6878,0.23194230078206227,0.28930020701275544,0.30976775624590724,473.96474315505475,900.088815426454,0.8999100000000001,52.677707519550076,66.8692191850702,-89.40448584316943,4.4788672982237365,0.03528628450130304,-0.3591231165678847,0.0,0.0991696641937644,0.5990679632586626,15.798824771835157,-4.630086499107273,-7.470132074588077
Alton Serrano,HiA,LAA,2B,100,20,70,73,24,23,23,16,44,69,54,58,48,69,57,10,$27K  26250,Anaheim Dirty Halos,6878,0.2165088787622345,0.27568474204329696,0.26273997497772816,372.4469887400046,730.6132559273392,0.9336899999999999,35.676857257080464,53.96032003281846,-96.81599636982652,-2.492080403245322,-1.0618207643272495,0.06956962453856447,0.0,0.09983455754234928,0.5384247170210251,12.41489962466682,1.2527662138671798,-8.624662111989052
Andy Truman,HiA,LAA,CF,100,22,77,92,34,21,31,14,54,60,67,67,55,52,49,26,$27K  26250,Anaheim Dirty Halos,6878,0.22013116642013583,0.2857817312792216,0.26366078206566534,424.11085663177073,849.3557951580733,0.8789674999999995,39.171604731811875,62.54328830211543,-92.08429423116048,-0.8081968126798849,-0.4999566694697146,-0.9497768634377103,0.0,0.09935246289358947,0.5494425133448869,14.137028554392357,1.4563713908746112,-7.8866823848689895
Arthur Hall,AAA,LAA,1B,100,27,90,89,23,50,25,30,52,73,52,57,38,58,53,20,$55K  54500,Anaheim Dirty Halos,6878,0.22622055943129205,0.28808823009421963,0.3428484018793535,477.5027657793835,949.5791576951742,0.8307866666666667,57.62255669483469,70.58035512063549,-46.61999138312006,-2.451264939232158,0.08601562485204008,-0.40869078642743983,0.0,0.09993295933935332,0.6309366319735732,15.916758859312782,-8.141110748415418,-4.203365094554327
Aurelio Merced,AA,LAA,SS,100,25,89,94,22,17,25,35,39,86,78,77,67,86,80,19,$38K  37500,Anaheim Dirty Halos,6878,0.21944873878517876,0.2718535445999199,0.25058038898736557,462.6459612213075,936.4886064566672,0.84632,34.137311718303444,55.55044554652573,-118.15503543551411,5.341561283870298,-0.2501555354948451,0.5197335392460728,0.0,0.10000658877077985,0.5224339335872854,15.42153204071025,4.817328222513719,-9.278186665186254
Billy Marimon,AAA,LAA,SS,100,28,74,92,48,21,20,58,30,69,57,80,71,86,81,8,$55K  54500,Anaheim Dirty Halos,6878,0.23679431527588465,0.28270936065651336,0.2824468705923676,443.18739913776517,880.2499037552625,0.8885199999999996,46.330800868913265,51.00879620927565,-112.70526381926294,-2.9270836680855905,0.033495549016274634,0.7543267172264098,0.0,0.09974663549627184,0.5651562312488809,14.772913304592173,4.528034484337771,-9.633187514534528
Bo Sinclair,ML,LAA,SS,100,25,87,77,71,70,78,62,47,61,74,79,80,85,81,13,$1.7M  1690000,Anaheim Dirty Halos,6878,0.2629345626894801,0.31626536938373584,0.4478501386938679,586.9844778496772,1095.4453658666462,0.9695091666666658,95.81913310655413,96.32389969804191,-5.5819114689444325,1.2344269859759915,1.7935812491719465,1.7225774438947032,0.0,0.09904628132761463,0.7641155080776038,19.56614926165591,5.635007026062995,2.2754540979703832
