Player,Lvl,Frn,Pos,%,Age,Durability,Health,Contact,Power,LH,RH,BattingEye,BaseRunning,Speed,Range,Glove,ArmStrength,ArmAccuracy,PitchCalling,$,team,teamid,xAVG,xOBP,xSLG,xPA,xInn,xFld%,xOPS+,xwRC+,xBtR,xBsR,xFRAA,xFR,xcFR,xOPS,pcR,RLR,pos_adj,xWAR
Al DeSoto,RL,LAA,C,100,19,51,62,31,37,21,26,16,28,47,14,22,60,50,51,$8K  7650,Anaheim Dirty Halos,6878,0.22719333333333327,0.2729849999999999,0.32385833333333336,431.92,568.1584669835865,0.6607227949670738,50.741239416996216,40.58935656499191,-48.00489320514303,-3.3618434030973288,-0.4194376417132916,-11.043041230943583,-7.5933417557545315,0.5968433333333333,-1.433867182328183,14.397333333333332,2.9226258589690666,-4.689109798834936
Alan Scelfo,AAA,LAA,2B,100,25,74,95,50,55,43,54,64,74,86,81,58,50,53,7,$327K  327000,Anaheim Dirty Halos,6878,0.2516588888888889,0.315276,0.4278808333333334,509.2383333333333,941.5433899313211,0.9433969146253645,90.36911083011786,86.2396680206516,-20.014618020796842,5.760884189663909,0.9980341964446259,2.367796344013247,-0.009799408246802255,0.7431568333333334,0.0,16.97461111111111,1.6144433983733217,0.6756053642803497
Alberto Prado,AAA,LAA,CF,100,27,90,99,55,41,65,15,26,70,98,87,80,54,62,17,$55K  54500,Anaheim Dirty Halos,6878,0.22503999999999993,0.294544,0.3521099999999999,501.94,1017.3278800100088,0.9619054508809798,66.78421026839453,67.9361623591608,-36.46509397970141,6.314437033499595,1.8201243832339942,3.600258525060912,-0.020822780564017287,0.6466539999999998,0.0,16.731333333333332,1.7443893690157903,-0.8138443969034994
Alton Serrano,HiA,LAA,2B,100,21,76,74,26,24,26,19,46,74,54,60,53,72,63,10,$27K  26250,Anaheim Dirty Halos,6878,0.22054600000000002,0.29844499999999996,0.3396935,501.4266666666666,791.5117491930723,0.9723227271664547,25.59870777033983,40.652754872932974,-75.5058058051906,-2.4511716044225587,-1.030151166209232,-1.336733971331654,-0.031024569302991783,0.6381384999999999,0.0,16.714222222222222,1.357187498616379,-6.170579340499963
Andy Truman,HiA,LAA,CF,100,23,78,92,35,21,31,15,54,60,67,68,56,53,49,27,$27K  26250,Anaheim Dirty Halos,6878,0.22589500000000004,0.3037666666666665,0.31577583333333326,527.9566666666666,847.5698446631432,0.9573624664368908,33.476910357531374,46.20850900287083,-90.85965423897946,0.3507949661683351,-0.5467526375152661,-0.5836203672504578,-0.03329895005689362,0.6195424999999998,0.0,17.598555555555553,1.4533090614937296,-7.260954238634546
Arthur Hall,AAA,LAA,1B,100,28,89,88,23,50,25,30,52,73,52,57,38,57,53,20,$55K  54500,Anaheim Dirty Halos,6878,0.2220539999999999,0.31710333333333357,0.3633374999999999,517.77,923.4501495342702,0.8943085143040238,68.27980710240736,65.88782710641887,-29.887923903108074,-2.150177138104183,-0.7657401539807146,-1.449604367247515,-0.02869322766815152,0.6804408333333335,0.0,17.259,-7.917096618092165,-2.433648900886244
Billy Marimon,AAA,LAA,SS,100,29,74,90,48,21,20,58,30,69,57,79,71,86,81,8,$55K  54500,Anaheim Dirty Halos,6878,0.240375,0.2852133333333334,0.29898250000000004,488.83583333333337,872.1510779410601,0.9612256393323318,50.14007135245412,45.7686156778753,-40.01968320019974,-2.045822992411179,-1.1494931700859616,0.5967000641376442,-0.009142415494874136,0.5841958333333335,0.0,16.29452777777778,4.486373857721502,-2.0851283372406324
Bo Sinclair,ML,LAA,SS,100,26,87,76,71,70,79,62,47,60,73,78,81,85,81,14,$0  0,Anaheim Dirty Halos,6878,0.26614380952380967,0.32484033333333345,0.43715,597.9489166666666,1089.1844101026654,0.9654110645967254,102.18386941477372,103.24937965021792,-4.960771296501942,1.27948179606577,2.0803282581195224,3.925844837350112,0.01368977206925737,0.7619903333333334,0.0,19.931630555555554,5.602800463491078,2.598257110787049
Bob Wainhouse,HiA,LAA,C,100,22,62,63,65,38,28,18,19,47,12,27,38,74,64,81,$27K  26250,Anaheim Dirty Halos,6878,0.23066421428571432,0.27485000000000004,0.32824,410.81,658.1986263189465,1.014270956705742,55.54279557293969,54.16199118135672,-41.52756429805406,-4.254860663200636,-2.5701032182940535,2.878786267148285,-0.5098915149714174,0.60309,4.416979456495713,13.693666666666665,3.3857954028752393,-2.15762565276716
Chico Tatis,ML,LAA,SS,100,25,95,78,42,63,5,56,27,68,99,87,88,88,87,0,$5.0M  5000000,Anaheim Dirty Halos,6878,0.23173500000000005,0.28547666666666666,0.36883500000000013,537.4566666666666,1096.2400403283536,0.9712269188689964,76.25538564538934,84.34174092943056,-24.498633353905458,7.799167674407927,0.6949941487159752,-3.195764535762661,-0.0048010909090480565,0.6543116666666668,0.0,17.91522222222222,5.63909485765614,0.3687983822833047
Cliff Ross,LoA,LAA,2B,100,20,77,98,27,9,49,29,41,54,87,84,58,57,45,12,$27K  26250,Anaheim Dirty Halos,6878,0.21329499999999993,0.28488,0.26192600000000005,501.1825,861.0977581739426,0.9711329478663157,58.33029157887554,45.19902488076654,-50.794449778668564,3.495593897340239,0.035391080921506814,1.8851335562381493,-0.03026603726068882,0.5468060000000001,0.0,16.706083333333332,1.4765050723147164,-2.744618673675096
Cody Starr,RL,LAA,1B,100,20,79,64,19,27,21,15,30,43,40,45,29,32,28,1,$8K  7650,Anaheim Dirty Halos,6878,0.2322999999999999,0.28163,0.33732500000000004,532.17,772.2537804935127,0.33818884800553345,26.71582898939698,30.696055443234318,-95.85982561792908,-4.406632998048144,-4.543088604014364,-3.8879950494296023,-0.1534954436365064,0.618955,0.0,17.738999999999997,-6.620831451419005,-9.377102188120409
Cory Cooper,LoA,LAA,DH,100,19,75,41,62,70,46,65,55,24,28,1,21,72,52,50,$27K  26250,Anaheim Dirty Halos,6878,0.2694399999999999,0.3437283333333333,0.44021099999999985,435.01599999999996,871.9561312552541,0.6902278902220266,98.40932576356465,92.67341066622068,-4.77087073038855,-4.546132202597697,-0.15649909589927694,-4.898631140855603,-1.8627738953147093,0.7839393333333331,0.0,14.500533333333331,-11.960989454804583,-1.1768299946808665
Dayan Amaro,HiA,LAA,1B,100,25,90,93,18,14,21,17,28,60,51,71,58,54,59,9,$27K  26250,Anaheim Dirty Halos,6878,0.21370999999999996,0.2718766666666666,0.25320000000000004,530.845,892.254067927599,0.9673405866135685,22.0267470378165,31.91914283230025,-92.57397124468409,-2.630930383733995,-1.6400531975187862,0.4811186544337353,-0.02875073730745173,0.5250766666666666,0.0,17.694833333333335,-7.649640500065148,-8.534732356288556
Don O'Shea,AAA,LAA,3B,100,26,80,68,58,58,65,71,44,56,59,59,66,76,65,0,$61K  61000,Anaheim Dirty Halos,6878,0.26211749999999995,0.3214249999999998,0.4205666666666666,519.4916666666667,1003.0386761687696,0.9573551617311106,92.01707082032965,80.7030322423282,-10.130332789681603,-4.08604835872373,-0.16841628721272386,0.5221924681524497,-0.01499828773920927,0.7419916666666664,0.0,17.316388888888888,1.719887990687191,0.5384276347674835
Edwards Miller,LoA,LAA,1B,100,24,96,78,39,23,29,23,39,57,67,69,69,55,49,9,$27K  26250,Anaheim Dirty Halos,6878,0.24959999999999988,0.29285999999999995,0.3264499999999999,520.7191666666666,1007.3860207907856,0.9476828573003541,37.626900056854524,40.803751965633616,-68.96452221251734,-0.5563287917585482,-1.1060999719792222,-0.24748436312918107,-0.028750737307451785,0.6193099999999998,0.0,17.357305555555556,-8.636711426532798,-6.152985442479948
Edwin Hawkins,LoA,LAA,2B,100,21,80,79,21,15,13,16,27,42,55,64,45,50,48,2,$27K  26250,Anaheim Dirty Halos,6878,0.2003299999999999,0.2703833333333333,0.25407,514.805,796.5082178991288,0.938296781649145,16.64956212903779,19.769952969667887,-109.53448932941532,-3.0279503940820662,-3.2006428751790654,-0.9278211968997474,-0.1158486288577444,0.5244533333333333,0.0,17.160166666666665,1.3657548317886299,-9.571430263673035
Ernest Lush,LoA,LAA,RF,100,21,86,97,39,47,40,37,35,70,48,59,47,58,51,4,$27K  26250,Anaheim Dirty Halos,6878,0.24441666666666662,0.2954399999999999,0.38360333333333324,527.5283333333333,948.802023589611,0.938602883192944,65.30083883071444,63.6801688015754,-33.268946507398866,-3.2301869175367375,-0.460001504728789,1.2943278207727467,-0.028693227668151577,0.6790433333333332,0.0,17.58427777777778,-4.880668845625571,-2.267889568929914
Evan Buckley,HiA,LAA,LF,100,23,75,98,12,12,21,19,33,46,67,69,49,47,47,3,$27K  26250,Anaheim Dirty Halos,6878,0.20945,0.27839499999999995,0.25472,534.235,790.4389005284756,0.945472452884912,18.886923164320557,22.90515883187824,-110.61497838296978,-1.4220170338896136,-1.7291664947064391,1.0290811912528846,-0.01718204386152292,0.533115,0.0,17.807833333333335,-4.066043726998331,-9.80342657547074
Felipe Hernandez,AA,LAA,RF,100,24,95,95,24,41,36,49,44,56,53,49,33,65,56,12,$38K  37500,Anaheim Dirty Halos,6878,0.2508925,0.3139175000000002,0.3594799999999999,526.82,992.6762235593051,0.8061972908203374,70.46334567694339,57.59851030684151,-29.526058261666826,-2.9623647524509584,0.21018144413408119,0.8382155050656445,0.029928912196735716,0.6733975000000001,0.0,17.56066666666667,-5.106359174687783,-1.9347496068551049
Felix Yang,LoA,LAA,1B,100,20,61,53,76,90,76,54,83,50,41,40,37,46,35,2,$27K  26250,Anaheim Dirty Halos,6878,0.2767075,0.3596133333333333,0.512624166666667,504.51916666666665,861.3370670378208,0.8212767524007699,123.79307406155613,111.13790247909331,15.889508137500478,-5.539791263969565,0.1609895738903299,1.1959088924926238,0.01442730969353229,0.8722375000000002,0.0,16.817305555555556,-7.384577049364033,2.114402692477844
Fernando Duran,LoA,LAA,RF,100,21,80,98,6,70,52,34,34,71,43,59,39,59,51,1,$27K  26250,Anaheim Dirty Halos,6878,0.2244099999999999,0.28323166666666677,0.46962047619047603,536.9201666666667,885.899086933583,0.9287116742046715,92.13678609737067,86.08835015290528,-9.03638970378254,-2.993907087804711,-4.91983350829043,-6.118072990448638,-0.030266037260688907,0.7528521428571429,0.0,17.89733888888889,-4.557094068588389,-0.4846096234692769
Frank Martin,ML,LAA,SS,100,34,86,85,63,48,52,44,47,71,24,77,78,71,85,6,$0  0,Anaheim Dirty Halos,6878,0.24983999999999995,0.31016833333333316,0.35524733333333314,478.145,990.7640278786421,0.9637516533893914,75.40979965096255,67.65851537168523,-23.026093438424503,-5.427141065786945,1.907528536555845,3.5234952523388468,0.024132361127598964,0.6654156666666663,0.0,15.938166666666667,5.096522777153508,-0.39258102397427824
Fred Gran,AAA,LAA,SS,100,21,89,99,65,55,69,72,46,63,100,80,67,81,65,9,$55K  54500,Anaheim Dirty Halos,6878,0.2715506666666666,0.33948833333333334,0.4422316666666665,614.3016666666666,1115.8047338463366,0.9566984155529307,96.98031822659095,91.1039770955167,-1.9344514052839106,6.606962715254947,0.6442112044432348,1.9161175902236118,0.0003485231059491031,0.7817199999999999,0.0,20.476722222222218,5.739736285217781,3.306415948630551
Gabriel Ceciliani,RL,LAA,1B,100,19,61,89,13,31,13,22,22,51,81,50,30,57,47,6,$8K  7650,Anaheim Dirty Halos,6878,0.21706999999999987,0.27458000000000005,0.34659,520.3058333333333,668.9090162757784,0.8026671331826921,26.465453619703585,33.917514445518506,-75.67678925431474,2.3395000508427386,-2.0207181292195893,-0.853965170541786,-0.09375645425780454,0.62117,0.0,17.34352777777778,-5.734816669031022,-6.30767772653407
George Patel,RL,LAA,LF,100,20,71,92,28,43,19,24,36,38,50,54,39,40,40,0,$8K  7650,Anaheim Dirty Halos,6878,0.22406499999999993,0.271788,0.36465000000000003,557.2,797.9237528480589,0.8843207714595559,48.537286787775955,39.78256448116524,-58.10097567276784,-3.3087448601213727,-1.1040752711390038,-1.551840132754408,-0.017182043861522847,0.6364380000000001,0.0,18.573333333333334,-4.1045460537451595,-4.887573604808195
Glenallen Benjamin,ML,LAA,2B,100,22,91,90,72,98,68,74,72,67,68,79,74,81,75,0,$343K  343000,Anaheim Dirty Halos,6878,0.26803000000000005,0.33111,0.5505950000000002,631.6766666666666,1186.330088980496,0.971940136585462,120.72777833576835,105.92614340203427,15.210293342386029,0.1995134199861509,1.4352535640918647,2.336264704033285,0.0176476559838889,0.8817050000000002,0.0,21.055888888888887,2.034173677950096,4.1158629809506655
Gregory Locke,LoA,LAA,C,100,21,75,65,55,35,20,11,50,33,0,11,25,66,66,68,$27K  26250,Anaheim Dirty Halos,6878,0.2499500000000001,0.3420833333333333,0.31078500000000014,452.43666666666667,730.4471886213869,1.0171680761068274,55.02840441195014,55.45504328179172,-47.74514702992275,-4.354258664217424,-0.9496850041527048,-5.191087570677887,-1.0447039394829936,0.6528683333333334,1.9788745367264633,15.081222222222221,3.7574443859124838,-3.6760990478262894
Hi Duda,LoA,LAA,2B,100,20,72,54,28,30,28,22,40,43,90,70,47,54,44,5,$27K  26250,Anaheim Dirty Halos,6878,0.22622214285714284,0.2789574999999998,0.3584675,517.08,772.9847030360252,0.9427928083457568,43.839475874163966,42.94930751018532,-67.42087143821671,3.1810113882173465,-0.25557795390464266,0.2935681612923534,-0.026294049910874164,0.6374249999999998,0.0,17.236000000000004,1.32541958682446,-4.574329089291864
Horacio Tavarez,HiA,LAA,C,100,24,61,66,38,56,24,38,44,16,19,3,17,54,56,40,$27K  26250,Anaheim Dirty Halos,6878,0.2557600000000001,0.31360000000000005,0.43073999999999996,476.8125,691.3262672536075,0.6495280346166346,80.59094623423904,64.39893905363476,-21.972641536030615,-4.2743466962165675,-0.3647659919704887,-4.857804258360482,-2.04673922727957,0.74434,-4.085505667398341,15.89375,3.556205078465059,-1.586464951256268
J.B. Little,RL,LAA,LF,100,21,75,76,45,15,18,15,61,50,79,69,49,45,40,2,$8K  7650,Anaheim Dirty Halos,6878,0.2359770000000001,0.32879333333333316,0.27231000000000005,530.1166666666667,815.8397155422717,0.9058055376587052,30.521055744248383,45.56469330308856,-92.74210154281343,1.3235988349680738,-0.5811159651632486,0.46322907548229275,-0.028750737307451806,0.6011033333333332,0.0,17.670555555555556,-4.1967063556701225,-7.809331957656525
Javier Gamboa,ML,LAA,SS,100,32,75,78,49,70,50,79,41,73,52,76,86,81,81,5,$6.5M  6500000,Anaheim Dirty Halos,6878,0.25011666666666654,0.31338833333333327,0.42224499999999987,509.75083333333333,999.3975593820214,0.9698506369622119,95.30608991900388,82.09362237657174,-8.076105174654282,-4.886872173528288,1.3122734192417418,3.5642845291437686,-0.0012144587514397293,0.7356333333333331,0.0,16.991694444444445,5.1409339474383815,1.2834499461533735
Jesus Armas,RL,LAA,1B,100,19,62,49,35,15,10,23,0,49,69,53,33,38,35,0,$8K  7650,Anaheim Dirty Halos,6878,0.23234000000000005,0.26746333333333333,0.28161250000000004,578.525,628.3372938837856,0.7761543157457089,21.72625787127127,30.529076588254938,-93.6180315494816,-1.0495692042238267,-6.652327118546699,-3.4479889787978006,-0.5925866407324967,0.5490758333333334,0.0,19.284166666666668,-5.386979542899397,-8.488350178542973
Jimmy Krause,HiA,LAA,2B,100,25,83,52,29,30,19,25,48,58,40,53,49,59,57,3,$27K  26250,Anaheim Dirty Halos,6878,0.2298049999999999,0.3119166666666667,0.35294333333333333,512.7700000000001,835.3114176727831,0.9578565435428267,56.618257485465975,51.00854969146608,-47.375270113250856,-3.1817952427779943,-0.7719774899650163,-0.5176444203210346,-0.037805233717502766,0.66486,0.0,17.092333333333336,1.432289810824388,-3.2807144889648785
Josmil Urena,AAA,LAA,2B,100,25,81,96,30,25,28,21,49,77,87,61,44,40,45,3,$55K  54500,Anaheim Dirty Halos,6878,0.23349,0.315715,0.35476499999999994,550.6366666666667,868.8271838612854,0.9361105452906022,31.28596940312335,53.19208193789581,-84.0830524408777,7.124887346497399,-0.7558265562981084,-0.48812213521088677,-0.028750737307451583,0.67048,0.0,18.354555555555557,1.4897585457155103,-5.805687400172623
Ken Szczur,RL,LAA,1B,100,19,61,71,16,30,25,21,40,51,27,47,29,43,34,0,$8K  7650,Anaheim Dirty Halos,6878,0.22599500000000003,0.2932266666666667,0.34227,573.53,651.2293033413589,0.7823862571145525,41.842661728478376,31.86008085103375,-78.09187714304669,-4.365675258027458,0.9278298623097035,-0.09128990204774001,-0.5350243940954631,0.6354966666666667,0.0,19.117666666666665,-5.583241626726329,-6.955944579233796
Kenley Seneca,LoA,LAA,1B,100,24,82,92,22,25,17,12,36,47,56,45,28,39,35,7,$27K  26250,Anaheim Dirty Halos,6878,0.22270999999999994,0.2824283333333333,0.3366299999999999,497.86,819.6959133967757,0.8055614765629037,24.44590021001508,27.879964847140077,-102.61673547451852,-3.734577234061401,-0.6129409200900743,-4.3843647904339065,-0.10398521465752252,0.6190583333333332,0.0,16.595333333333333,-7.027571273977845,-10.19668702426762
Kevin Osbourne,HiA,LAA,2B,100,20,66,88,82,20,58,51,48,62,74,69,60,53,49,11,$27K  26250,Anaheim Dirty Halos,6878,0.2579016666666666,0.32161700000000004,0.31446666666666656,459.5583333333333,861.6973864547908,0.949957012075985,64.68270837628792,64.30442875502075,-28.75087686449146,1.5988326547666198,1.0704803856095495,2.9732848521538258,0.005547402598356057,0.6360836666666666,0.0,15.318611111111109,1.4775332415205606,-0.7440917834363028
