Rank,Player,Pos,Bats,Throws,Age,Contact,Power,LH,RH,BattingEye,BaseRunning,Bunt,Push/Pull,OVR,Range,Glove,ArmStrength,ArmAccuracy,PitchCalling,Durability,Health,Speed,Patience,Temper,Makeup,xAVG,xOBP,xSLG,xPA,xInn,xFld%,xOPS+,xwRC+,xBtR,xBsR,xFRAA,xFR,xcFR,xOPS,pcR,RLR,pos_adj,xWAR
327,"Adair, R.A.",1B,L,L,19,14,25,36,36,40,74,12,69,47,39,50,65,40,3,100,65,45,68,66,32,0.24578766666666665,0.2930016666666669,0.35522249999999983,508.98,1000.6652057562023,0.9267609437656641,57.483367860795255,39.36227884567367,-64.70105056720503,-3.3375145014565195,-0.9217348554981963,-1.0696260743095862,-0.23312415560117153,0.6482241666666667,0.0,16.966,-8.579091270200639,-6.120081745171216
58,"Adams, Johnny",C,R,R,21,45,44,57,47,61,46,59,23,67,81,74,66,68,42,86,38,61,29,41,77,0.2582266666666666,0.3382900000000001,0.3703891666666666,451.73583333333335,953.7073287852108,0.9430166347984786,79.58394817315656,75.20320494625017,-17.759715047385995,-1.645379934641325,0.6646654413656781,1.7284015241140038,-0.08120956474555585,0.7086791666666667,-5.048960601908871,15.05786111111111,4.905901897043266,-0.2783702572756806
51,"Adams, Ned",2B,R,R,22,52,68,51,46,57,93,40,68,68,76,96,65,70,18,69,99,47,83,59,53,0.25707233333333335,0.3186058333333333,0.4309533333333333,469.2375,956.0782130286098,0.9690416031927304,88.24301660944789,84.0283791710745,-11.290771394653072,-4.961016236048168,1.6577110655987137,3.6693268252641285,-0.005930322058034913,0.7495591666666666,0.0,15.64125,1.6393659345483709,0.47352579357611124
450,"Adams, Ross",DH,R,R,21,15,21,33,17,43,38,44,45,38,0,36,68,47,64,81,56,3,75,16,63,0.21878999999999998,0.29211666666666675,0.31251000000000007,472.78,776.8987064603716,0.9977335470673366,20.851718351033604,28.59363767409357,-96.78958851984076,-2.7442760593980324,-1.883364950373557,-2.8393877928800104,-6.290988102208065,0.6046266666666669,0.0,15.759333333333332,-10.657046727851462,-9.803914513413407
357,"Adkins, Tom",LF,R,R,21,20,3,22,25,29,45,74,41,44,57,72,62,50,3,100,68,44,86,28,76,0.20725900000000005,0.26935000000000003,0.23758000000000018,506.26666666666665,992.1305843759328,0.9562056703988936,29.858689375447558,28.801776826100028,-73.69718794635486,-2.626888634852739,-3.385070060351826,-1.059369573115937,-0.783382370335524,0.5069300000000002,0.0,16.875555555555554,-5.103552388765086,-6.612959716002946
477,"Adkinsson, Ronald",DH,R,R,21,33,16,6,33,60,71,64,45,49,44,42,28,58,15,87,73,70,47,28,44,0.22413433333333327,0.3260753333333334,0.2813649999999999,514.5425,877.3200575467199,0.44696613558486614,58.76961708902874,49.681140427777706,-44.00855720479285,-0.49688357889838725,-1.1167441824881084,1.8579518836860844,-0.02435190308232537,0.6074403333333334,0.0,17.15141666666667,-12.03456869062716,-3.782703218295551
320,"Alexander, Christopher",1B,L,R,21,7,52,30,26,34,23,0,39,47,38,61,67,46,1,100,62,55,65,67,71,0.2140933333333333,0.2712250000000001,0.39017333333333326,496.92583333333334,1040.8538495786488,0.9546365772439268,47.45772327831257,47.71641623168505,-59.05207732540225,-3.415584691599073,-9.03700371225446,-7.2870015273400925,-0.42230612323341365,0.6613983333333333,0.0,16.564194444444446,-8.923644115043286,-6.260464787578212
372,"Alston, Connor",LF,R,R,19,21,4,28,24,22,76,31,31,43,50,62,65,62,0,85,49,62,59,52,92,0.20932999999999996,0.2651439999999999,0.2514700000000002,506.5983333333333,826.8850727621466,0.9598976158249676,27.40921319297546,35.93991988436419,-69.79627143172948,-0.80718624970709,-3.87578637433243,-1.7293090417939676,0.005354364193613219,0.5166140000000001,0.0,16.886611111111108,-4.253524036842318,-6.017114676960846
27,"Alvarez, Bengie",2B,R,R,18,76,35,75,67,47,54,33,37,70,92,64,54,70,2,79,61,73,69,72,99,0.2599133333333334,0.31964499999999985,0.37620083333333326,522.0641666666667,949.2318159714341,0.9492228179262973,79.14023251298774,77.22792329929713,-21.46385005377676,1.0300250058155107,3.8461074682286966,7.503127182148346,-0.001321317352189729,0.695845833333333,0.0,17.40213888888889,1.6276265705957376,0.614723384605241
308,"Alvarez, Victor",1B,L,L,19,62,0,33,20,7,76,66,64,48,68,43,53,65,1,83,67,87,92,17,60,0.23349800000000007,0.2628666666666667,0.27148600000000006,458.89333333333326,800.0325721744448,0.9190036778194138,29.093697292992484,50.63315053876474,-72.78156014994259,6.740431030039839,-2.171696704462775,2.495790895422431,0.7312584957334763,0.5343526666666667,0.0,15.296444444444441,-6.858989816310398,-5.554308786137545
53,"Aramboles, Norberto",CF,L,L,22,64,29,66,76,39,41,71,31,68,86,90,49,68,0,80,72,77,100,43,80,0.26543850000000013,0.3233973333333332,0.36336000000000007,555.1983333333334,1024.6836149208248,0.9669464121591086,82.33928501730402,76.15647380159142,-20.879540440250572,1.3053108069363442,3.411521653634913,7.7061243959780805,0.04602666799423971,0.6867573333333332,0.0,18.506611111111113,1.7570020831975732,0.8461809920167565
451,"Archer, Douglas",DH,R,R,20,39,37,34,19,60,19,13,31,48,21,9,63,49,62,91,90,5,49,16,69,0.24466999999999994,0.3143700000000001,0.32846833333333353,480.9,874.5321891289204,0.6978110810527313,63.038694432885386,59.43375336012278,-60.46699919986041,-5.153779904770571,-1.8281633744570234,-8.244580074608303,-5.663521467075492,0.6428383333333336,0.0,16.03,-11.996326325499593,-7.038316825788626
305,"Avila, Benito",1B,R,R,21,24,78,49,30,28,49,0,47,48,56,53,33,46,0,84,69,3,41,55,65,0.23017166666666658,0.27927916666666663,0.4319624999999999,502.37,916.60753897205,0.9610607605521947,100.67506764308952,82.18719565023744,-3.6809580961219464,-2.587660084155967,-0.7651167246323457,1.5339508778721884,-0.0707541223427319,0.7112416666666665,0.0,16.74566666666667,-7.858432261420181,0.41853612294890224
462,"Aviles, Jose",DH,L,L,22,0,64,15,26,71,26,8,20,45,42,20,36,20,13,100,64,22,59,25,79,0.22448999999999988,0.3464283333333335,0.48806916666666667,516.985,980.7817940283567,0.4623007849417639,98.98425749032931,86.48013082342024,-11.782990577356049,-3.1949867313934495,-13.900651792682037,-31.169749373692945,-9.804175211872094,0.8344975000000001,0.0,17.232833333333332,-13.453796900251806,-4.270328910340662
300,"Balaguert, Japhet",C,L,R,21,46,37,23,18,50,49,87,70,48,13,23,61,63,53,69,83,51,66,37,71,0.2417733333333334,0.32273799999999997,0.3383100000000002,439.415,729.9772654306144,0.8095329156211866,62.141807678970835,61.87103292570195,-40.9384431231558,-3.92952722857003,-1.404617972201843,-7.33880456858585,-3.107163144692932,0.6610480000000002,-1.392856501583358,14.647166666666667,3.7550270855484276,-3.5475402889758887
44,"Barber, Stu",3B,L,R,22,21,74,48,71,63,31,21,36,69,59,67,86,72,24,94,97,30,68,43,72,0.25633619047619055,0.3243206666666667,0.42719,488.0973333333333,1121.385546028614,0.9553946014027448,93.09760515661621,82.54880371410958,-9.530618378780359,-3.9439928697938593,0.6296202629941544,2.295276277466514,0.00983745370325546,0.7515106666666667,0.0,16.26991111111111,1.9228147222712861,0.7068777812677938
200,"Barclay, Erik",LF,R,R,18,25,83,66,21,44,38,0,0,52,60,56,57,48,17,84,46,9,100,100,20,0.22580499999999998,0.29830000000000007,0.44473999999999997,460.505,907.8168885186315,0.9479080606149999,100.34521866392026,86.64886986852332,-4.166552478361608,-2.73316742750212,0.6076417275132616,-0.28768813406166494,0.012581368656794809,0.74304,0.0,15.350166666666667,-4.669839961515594,0.3520503340979895
