Rank,Player,Pos,Bats,Throws,Age,Durability,Stamina,Control,vLH,vRH,Velocity,Groundball,Pitch1,Pitch2,Pitch3,Pitch4,Pitch5,OVR,Range,Glove,ArmStrength,ArmAccuracy,PitchCalling,Health,Speed,Patience,Temper,Makeup,xIP,xOBP,xSLG,xWHIP,xSO/BB,xFIP,xWARd,xWARs,xOPS
464,"Acquilino, Matt",P,R,R,18,32,55,44,7,23,70,26,73,39,42,10,17,36,35,35,23,43,5,62,29,98,41,81,77.79199999999999,0.38707833333333325,0.5937300000000003,1.8762999999999999,1.6215750000000002,5.86984390066417,-0.26296850175321707,-1.3966158621061622,0.9808083333333335
331,"Adams, York",P,R,R,20,41,76,40,35,37,35,40,66,62,40,30,0,48,26,20,30,43,0,50,26,31,31,51,109.57900000000011,0.3928616666666667,0.4709825000000001,1.8791107142857146,1.3352999999999997,6.059059112619864,-0.6400754799356655,-1.0183304900084713,0.8638441666666667
111,"Alonso, Robinzon",P,L,L,21,70,35,62,64,49,100,50,82,55,0,0,0,62,41,18,86,36,21,76,37,93,62,86,91.81000000000003,0.3592313333333334,0.4690618333333332,1.6087666666666667,1.9739011904761903,4.872463890361637,-0.3388728996084939,-0.5240558049528551,0.8282931666666666
291,"Argo, Neil",P,R,R,20,58,21,77,37,39,47,69,76,74,36,0,0,50,8,6,21,55,2,93,32,71,36,87,54.91699999999998,0.3470469999999999,0.45447666666666664,1.5651549999999999,2.319700000000002,4.885982800846222,-0.180937129880156,-0.1575862104387818,0.8015236666666665
394,"Arnold, Wilson",P,R,R,19,42,39,69,11,26,33,63,61,67,30,0,0,44,36,39,61,26,34,64,55,59,21,73,91.09968571428576,0.39133166666666674,0.5528650000000003,1.8921000000000006,2.504199999999999,5.842412825895491,-0.904459962481106,-1.3982431391474988,0.944196666666667
169,"Arrojo, Enny",P,R,R,22,68,33,74,41,44,90,43,82,40,0,0,0,57,13,69,85,44,7,100,21,57,76,64,88.13963333333336,0.3481683333333333,0.48876097619047626,1.6220694444444446,2.194859999999999,5.25812448173255,-0.3230364070181849,-0.21239846364958206,0.8369293095238095
65,"Astacio, Teodoro",P,L,L,20,18,78,91,72,53,43,35,88,69,47,46,25,68,29,32,16,56,13,100,32,100,22,53,126.57130000000008,0.32761545238095247,0.440685,1.421778571428572,2.7531166666666667,4.821115355565295,0.786776119376252,1.6935284481238875,0.7683004523809525
45,"Axford, Vern",P,L,L,18,15,71,78,80,56,89,48,89,89,72,0,0,69,57,25,87,81,1,55,33,80,88,84,110.38534523809538,0.3346416666666668,0.41412999999999967,1.4623383333333333,2.6545100000000006,4.282122392076528,0.9988371227442174,1.065625740627436,0.7487716666666664
219,"Barkley, Tommy",P,S,R,19,26,78,27,43,51,83,51,77,54,52,41,0,54,31,61,48,18,0,96,5,24,72,63,113.36420000000007,0.41134400000000015,0.4979240000000003,1.9094666666666669,0.8963999999999995,6.227080125846646,-0.8285932708678472,-2.1683081431835074,0.9092680000000004
409,"Barnes, Dave",P,R,R,21,51,25,75,17,25,74,60,71,64,42,0,0,43,42,36,96,31,38,46,51,24,49,90,59.12466666666663,0.38144,0.5490228571428573,1.7846583333333328,1.9807658333333336,5.527428778985261,-0.2983645875088241,-0.8047616084971386,0.9304628571428573
461,"Beck, Ira",P,R,R,22,23,59,45,20,18,30,34,57,42,49,0,0,38,45,54,34,36,0,78,27,100,26,70,99.9403333333334,0.39591499999999996,0.6167400000000007,1.8907416666666665,1.427183333333333,6.182686469154312,0.010855026305991246,-1.4821244856822922,1.0126550000000007
434,"Beltre, Ted",P,L,L,20,22,77,38,17,20,30,54,70,65,30,50,28,40,25,17,62,33,46,58,38,65,27,78,108.95850000000013,0.3982233333333332,0.5462760000000002,1.98685,1.364275,6.260460332632231,-0.8868447990853299,-2.718333308534426,0.9444993333333334
222,"Bergen, Boomer",P,R,R,22,46,25,96,57,47,41,56,68,45,58,58,26,54,17,15,32,39,17,57,32,50,7,87,64.42137499999998,0.34943999999999986,0.5117533333333334,1.5704183333333335,3.5524833333333334,4.777866266523368,-0.03682666073749801,-0.3647630956683031,0.8611933333333333
34,"Berroa, Trevor",P,R,R,18,16,94,73,67,63,91,61,88,66,65,39,0,72,12,56,77,52,40,88,14,36,41,86,110.41966666666671,0.3384050000000002,0.42933,1.4407833333333335,2.2950500000000003,4.515567078596662,0.8788943648911126,0.10772084967942083,0.7677350000000002
421,"Beverlin, Morgan",P,S,L,22,23,93,74,17,3,66,28,53,59,33,18,0,42,0,16,47,57,0,99,16,22,32,62,121.02333333333345,0.38224333333333355,0.5599400000000001,1.869939285714285,2.327274999999999,5.629299756220071,0.3953738479595676,-2.8666818056078136,0.9421833333333336
254,"Bianucci, Hainley",P,R,R,18,71,44,61,26,33,25,62,57,64,37,0,0,50,22,26,15,60,33,81,0,48,51,66,114.47600000000013,0.38653952380952394,0.548246666666667,1.8908599999999998,1.629521666666667,5.622145157248741,-0.801381203971423,-1.6245635513500907,0.9347861904761909
38,"Bolton, Jett",P,R,R,19,37,94,25,48,87,97,86,99,61,56,35,15,73,12,27,71,7,17,91,19,59,20,83,130.6840000000001,0.3812199999999998,0.3924613333333331,1.7611333333333334,1.1239,5.804614928036857,-0.2919612611826781,-0.3218359328905844,0.7736813333333329
