Player,Lvl,Frn,Pos,%,Age,Durability,Health,Stamina,Control,vLH,vRH,Velocity,Groundball,Pitch1,Pitch2,Pitch3,Pitch4,Pitch5,$,team,teamid,xIP,xOBP,xSLG,xWHIP,xSO/BB,xFIP,xWARd,xWARs,xOPS
Alex Dorsey,ML,LAA,P,100,28,31,53,82,87,89,79,81,60,83,73,68,51,50,$7.8M  7750000,Anaheim Dirty Halos,6878,182.44981666666678,0.3047980238095237,0.37736300000000006,1.2207573809523813,3.0211991666666647,3.5317303935486914,2.224212297970235,4.44830363267748,0.6821610238095237
Alex Hardy,ML,LAA,P,100,24,24,63,48,65,53,73,29,81,83,70,57,22,0,$360K  360000,Anaheim Dirty Halos,6878,79.88497222222226,0.3310161666666668,0.40987052380952377,1.4346642857142857,1.7659000000000007,4.503899200955779,-0.027440037749859047,0.5767237258024038,0.7408866904761906
Andre Capuano,HiA,LAA,P,100,21,59,84,24,63,32,33,38,48,64,59,40,0,0,$27K  26250,Anaheim Dirty Halos,6878,70.60766666666666,0.3769530000000001,0.5350349999999996,1.8144166666666666,1.5157333333333325,5.286211078958774,-0.612343371322083,-2.424200901352515,0.9119879999999997
Bart Fogg,AA,LAA,P,100,26,28,52,54,59,33,33,65,69,72,57,54,42,0,$38K  37500,Anaheim Dirty Halos,6878,77.06430833333332,0.382735666666667,0.5330366666666663,1.8537833333333322,1.9409833333333333,5.351526811941843,-0.02553905118446006,-1.9110474714562609,0.9157723333333332
Ben Moseley,RL,LAA,P,100,21,58,57,14,48,17,16,38,52,59,48,34,0,0,$8K  7650,Anaheim Dirty Halos,6878,58.501249999999985,0.3834793333333334,0.57161,1.9467499999999995,1.8517833333333342,5.2804276027123,-0.663166203372699,-4.607639368134089,0.9550893333333333
Blaine Goodwin,LoA,LAA,P,100,21,30,57,77,27,15,11,61,64,54,40,28,23,13,$27K  26250,Anaheim Dirty Halos,6878,116.36366666666669,0.4330228571428572,0.6118900000000003,2.205400000000002,0.8878499999999996,6.825827369304637,-1.346143602643277,-6.941579086593645,1.0449128571428574
Blake Jones,AA,LAA,P,100,27,69,89,34,77,18,27,60,71,71,45,0,0,0,$38K  37500,Anaheim Dirty Halos,6878,75.27249999999998,0.3806749999999999,0.5576099999999999,1.8540399999999995,2.4140499999999996,5.207275703413119,-0.23689891171055522,-3.3916530676860805,0.9382849999999998
Bob Gentry,ML,LAA,P,100,33,30,67,81,49,68,88,89,83,88,88,40,45,37,$6.3M  6250000,Anaheim Dirty Halos,6878,129.45242380952394,0.32926730952380945,0.3909688095238096,1.4220666666666661,1.9374183333333328,4.381641484931022,0.3499231473626488,1.3493805373725811,0.720236119047619
Bob Rose,AA,LAA,P,100,21,82,97,20,70,39,39,22,24,65,48,36,0,0,$38K  37500,Anaheim Dirty Halos,6878,60.60004761904763,0.3677133333333335,0.5029899999999999,1.8138249999999987,2.22714,5.396541173307903,-0.8503067723574061,-2.9588590620166797,0.8707033333333334
Braeden Raines,RL,LAA,P,100,21,52,88,31,56,15,11,66,48,58,47,24,0,0,$8K  7650,Anaheim Dirty Halos,6878,111.89133333333344,0.3828499999999999,0.58886,1.9803999999999982,2.076105,5.119233413058013,-0.6316164317102101,-4.433921206929186,0.97171
