Player,Lvl,Frn,Pos,%,Age,Durability,Health,Contact,Power,LH,RH,BattingEye,BaseRunning,Speed,Range,Glove,ArmStrength,ArmAccuracy,PitchCalling,$,team,teamid,xAVG,xOBP,xSLG,xPA,xFld%,xOPS+,xwRC+,xBtR,xBsR,xFRAA,xFR,xcFR,xpcR,xOPS,xInn,RLR,pos_adj,xWAR
Al Olivo,AAA,ALB,C,100,29,62,60,68,70,74,41,58,35,22,3,21,58,51,66,$64K  64000,Albuquerque Gladiators,2815,0.2677193008426425,0.335582511426266,0.4502051096482371,424.4609040915966,0.8978750000000001,93.4523255592754,77.13186984904172,-18.563617506068624,-4.536451715280557,-0.6223463949806383,-2.0745198945164294,-2.377414735130169,0.0698614136808447,0.7857876210745032,818.1868460793935,1.5577058502288645,7.014633454041438,-1.6733362992787502
Alex Aguilera,HiA,ALB,SS,100,23,88,66,59,3,31,33,23,38,31,74,62,80,65,14,$27K  26250,Albuquerque Gladiators,2815,0.2401329821267843,0.2887542532167328,0.2353132203632044,434.7555039823055,0.8758325,32.48838661913359,26.863895959095707,-165.71714155457863,-5.468615967555522,-3.5355612952492184,-3.003999618434144,0.0,-0.0055225248479854,0.5240674735799372,941.9841067646065,1.5954854391637792,4.845597257019581,-16.90734384129295
Alex Andujar,RL,ALB,2B,100,19,58,53,71,0,51,40,63,76,93,77,56,43,50,2,$8K  7650,Albuquerque Gladiators,2815,0.2602132926036528,0.334657766907743,0.2832705474577532,429.6441692709923,0.9042666666666668,58.39861569576496,60.92317399556344,-103.57498100458594,8.448045738462588,-3.206126095740867,-3.588982295459286,0.0,-0.0816760673015249,0.6179283143654962,795.7863718484589,1.5767276315411192,1.3645170985055879,-9.653103550376931
Arthur Walker,AAA,ALB,SS,100,29,73,83,54,45,35,10,38,74,87,88,86,89,88,20,$73K  73000,Albuquerque Gladiators,2815,0.2198465553697541,0.2752070392306242,0.3316672753610807,455.3935965895653,0.9471533333333332,49.20042819140835,52.02743369794046,-123.62957307906304,5.39599129657487,1.9124757279046756,1.568598822875362,0.0,-0.0008642677249025,0.6068743145917048,874.4981589652991,1.6712240461403034,4.498447319780345,-11.136792777368441
Artie Gilmore,AA,ALB,LF,100,24,75,92,34,41,33,35,41,15,48,58,51,67,61,6,$38K  37500,Albuquerque Gladiators,2815,0.2374071503413289,0.2961652060205194,0.3406765826846704,448.3734655976296,0.941136,55.95177680613014,48.77013021695023,-109.75474279362658,-5.253363370104806,-3.255111368877292,-1.6708998161287163,-0.0206246512278182,0.0360143177994888,0.6368417887051898,943.1558840915745,1.645461251475117,-4.851624918166535,-12.083194048475123
Billy Ray Delaney,RL,ALB,LF,100,23,92,87,14,21,13,11,35,45,64,64,40,42,34,7,$8K  7650,Albuquerque Gladiators,2815,0.2201408476858983,0.2805012360069676,0.2718013162679715,460.12667444348335,0.62337,31.326360720103903,34.258783603311194,-178.82678011001968,-0.7194640092531445,-1.7558267508646166,-5.041643086970374,0.0,0.0320736506355007,0.5523025522749391,977.367149911946,1.6885937096159434,-5.027608795843344,-18.941102006390373
Blade Burns,HiA,ALB,SS,100,24,86,71,35,14,17,21,23,47,36,85,67,87,74,4,$27K  26250,Albuquerque Gladiators,2815,0.2208957871246192,0.2692593068036518,0.2378196694657478,412.667220890522,0.8905899999999997,25.5955057273637,23.083421484674936,-183.0321292507038,-4.549184474467512,-3.067117003296974,-2.5693077940023854,0.0,0.0003510152191285,0.5070789762693996,908.6257187619499,1.514424857466112,4.67400061091538,-18.541500329180092
Buddy Welker,LoA,ALB,LF,100,23,93,61,42,52,34,49,40,30,60,67,50,37,44,0,$27K  26250,Albuquerque Gladiators,2815,0.2496718512937821,0.3065313427873231,0.3906828396316107,531.4840224385262,0.863245,69.50111854934548,63.51309966539559,-84.41627895995458,-1.8695026505938703,-1.3720195534438455,-2.656838410588478,0.0,-0.0168459806855406,0.6972141824189337,1049.062075975779,1.9504641371564468,-5.396409855842484,-9.31181872608455
Clarence Rizzo,ML,ALB,3B,100,25,92,99,84,60,63,67,74,68,84,80,82,75,88,10,$0  0,Albuquerque Gladiators,2815,0.2708732595635287,0.3430595834682015,0.4394655116829992,642.2764707803726,0.9776399999999996,98.665540024023,93.09820807037472,-2.6362533330726023,5.210598628647051,2.2096174261054857,3.4885940649696643,0.0,-0.0013450787055643,0.7825250951512006,1123.7733205097982,2.3570552820172965,1.9269089857849764,1.0428616376052064
Cliff Ledee,ML,ALB,CF,100,23,93,99,75,34,79,57,59,73,87,90,75,64,64,2,$343K  343000,Albuquerque Gladiators,2815,0.2702078040688802,0.3359508047252838,0.3763651841125306,627.4923194050789,0.9749849999999995,81.85032297444886,79.27714986993527,-51.611162084391765,6.243051180548213,3.6594936522280337,3.2933504657801684,0.0,-0.0083133032140193,0.7123159888378144,1126.0386881137965,2.3027997337065513,1.9307933609633,-3.814001092704767
