Player,Lvl,Frn,Pos,%,Age,Durability,Health,Contact,Power,LH,RH,BattingEye,BaseRunning,Speed,Range,Glove,ArmStrength,ArmAccuracy,PitchCalling,$,team,teamid,xAVG,xOBP,xSLG,xPA,xInn,xFld%,xOPS+,xwRC+,xBtR,xBsR,xFRAA,xFR,xcFR,xOPS,pcR,RLR,pos_adj,xWAR
Adeiny Torres,AA,ALB,C,100,25,78,87,51,66,40,50,35,33,33,3,18,61,57,48,$54K  53750,Albuquerque Gladiators,2815,0.262675,0.29519,0.4325454166666664,462.48,880.7515080142766,0.5804644949831653,89.11220173555958,93.36851280689915,-12.929817119464674,-4.51667688435985,-0.7965882907880748,-5.7068291071539345,-2.543557866220321,0.7277354166666664,-3.0360841975929755,15.416,4.530614753159859,-0.6292093848956223
Al Olivo,AAA,ALB,C,100,30,62,60,68,70,74,41,58,35,22,3,21,58,51,66,$67K  67000,Albuquerque Gladiators,2815,0.27222,0.3509825,0.44747483333333327,404.35083333333336,761.3188650179654,0.8776546963945508,103.51459783398379,97.82009629068405,-1.6379526614580397,-5.836474383940294,0.026455322625443863,-5.496461049248191,-6.762234613005151,0.7984573333333332,1.5938206846538918,13.478361111111113,3.91624930564797,0.6065065433879125
Alex Aguilera,HiA,ALB,SS,0,24,87,63,63,3,33,35,23,34,28,70,65,84,68,14,$27K  26250,Albuquerque Gladiators,2815,0.233135,0.2847216666666667,0.24770000000000014,481.25833333333327,896.1339878179133,0.9486472261454924,49.998104249457974,42.60690427689493,-41.24823052908926,-5.951024847715264,0.6139869357690189,5.429862811915153,0.007965710511267139,0.5324216666666668,0.0,16.041944444444443,4.6097427356888545,-2.1284478536822564
Alex Andujar,HiA,ALB,2B,100,20,68,55,76,0,56,43,68,81,94,80,61,45,55,2,$27K  26250,Albuquerque Gladiators,2815,0.2726920833333334,0.34309566666666685,0.28983166666666665,455.95033333333333,806.0115623511374,0.9517725307470065,61.44160233278583,74.9706763150135,-27.98296079615271,9.110003255258905,1.6637540481998667,3.5045936832312043,-0.001806702786987935,0.6329273333333335,0.0,15.198344444444444,1.3820500040314427,0.122160237706317
Alex Velazquez,AA,ALB,1B,100,26,91,83,21,79,58,43,81,22,9,25,29,32,32,11,$54K  53750,Albuquerque Gladiators,2815,0.266735,0.3253200000000001,0.49353,497.22,1022.2346486784518,0.5945640404060271,102.1087308439856,97.11573122579503,1.6975913053377465,-4.878658261861016,0.31962955287172884,-1.3502188350087891,0.05748212060143192,0.8188500000000001,0.0,16.573999999999998,-8.764014477695916,0.3304592652319033
Arthur Walker,AAA,ALB,SS,100,30,73,83,54,45,35,10,38,74,87,88,86,87,88,20,$76K  76000,Albuquerque Gladiators,2815,0.22505000000000008,0.28519333333333324,0.29596999999999984,485.5299999999999,854.882999997586,0.9708995848165626,48.31757599487472,54.20361601795128,-45.98378717010374,5.911859012381883,3.927053737498936,6.648364173760232,-0.02016578781208939,0.581163333333333,0.0,16.184333333333328,4.3975462962838785,-1.294309916900335
Artie Gilmore,AA,ALB,LF,100,25,75,92,34,41,33,35,42,16,48,58,52,67,62,6,$38K  37500,Albuquerque Gladiators,2815,0.23718999999999998,0.29331333333333337,0.3546599999999998,486.75100000000003,867.5918949767947,0.9234303744100703,57.30921216098595,49.592907047679134,-37.22204002459607,-4.169236123269916,-0.9672539060453209,-0.7280756996112387,0.09267013556653672,0.6479733333333332,0.0,16.225033333333336,-4.462921270456763,-3.059698044177311
Aubrey Little,LoA,ALB,DH,100,21,74,55,29,47,64,45,66,15,18,5,21,57,49,46,$27K  26250,Albuquerque Gladiators,2815,0.2582000000000001,0.3256510000000001,0.39928050000000015,510.6316666666667,807.3860568311065,0.6827877517563065,71.97187025857093,67.55274691285757,-37.09415460187458,-4.336294025135449,-0.17327147406909973,-5.835457860066535,-2.6981952323177323,0.7249315000000003,0.0,17.021055555555556,-11.075254551867031,-4.164642333419765
Blade Burns,AA,ALB,SS,100,25,87,72,36,14,18,21,23,49,36,88,72,89,79,4,$38K  37500,Albuquerque Gladiators,2815,0.224084,0.27195333333333344,0.24962000000000004,436.025,870.328481182456,0.9700216907844089,24.626105205999146,35.391029051581356,-60.21816180474503,-3.764882648434037,0.06657662103510617,2.773315014345572,0.03599283198551739,0.5215733333333334,0.0,14.534166666666666,4.4769983599920575,-4.253181972905115
Buddy Welker,LoA,ALB,LF,100,24,95,62,49,54,38,55,41,33,60,70,56,39,49,0,$27K  26250,Albuquerque Gladiators,2815,0.2626630000000001,0.31158699999999995,0.4234593333333336,502.79666666666674,1051.308816343546,0.9279122127099382,86.16951398955852,67.7913321737946,-19.984252446512663,-3.212572543671759,0.7087576194816019,1.4203035945472944,-0.06069766497934614,0.7350463333333335,0.0,16.75988888888889,-5.4079671622610395,-1.0506926006750816
