Player,Lvl,Frn,Pos,%,Age,Durability,Health,Stamina,Control,vLH,vRH,Velocity,Groundball,Pitch1,Pitch2,Pitch3,Pitch4,Pitch5,$,team,teamid,xIP,xOBP,xSLG,xWHIP,xSO/BB,xFIP,xWARd,xWARs,xOPS
Addison Acosta,AAA,ALB,P,100,27,19.0,93.0,88.0,81.0,76.0,61.0,36.0,89.0,76.0,71.0,24.0,44.0,22.0,$61K  61000,Albuquerque Gladiators,2815,124.65850000000013,0.3285215,0.4229449999999999,1.4204683333333334,1.956537500000001,4.626046527708444,0.8073012235602282,0.9079148278803882,0.7514664999999999
Al Roque,HiA,ALB,P,100,24,83.0,92.0,46.0,41.0,36.0,38.0,83.0,51.0,75.0,60.0,0.0,0.0,0.0,$27K  26250,Albuquerque Gladiators,2815,85.178,0.39446999999999993,0.5115499999999998,1.861091666666668,1.4276833333333336,5.6983869951487,-0.412541480299605,-1.307872563778239,0.9060199999999998
Alan Magnuson,AAA,ALB,P,100,25,66.0,94.0,27.0,70.0,47.0,51.0,34.0,61.0,66.0,47.0,35.0,0.0,0.0,$55K  54500,Albuquerque Gladiators,2815,69.91089999999997,0.36108999999999997,0.5068658333333338,1.5341233333333337,1.9404095238095243,5.461806270090882,-0.7204711404062991,-0.8054137416810907,0.8679558333333337
Alan Price,ML,ALB,P,100,24,27.0,71.0,59.0,81.0,73.0,74.0,32.0,89.0,86.0,74.0,53.0,70.0,49.0,$343K  343000,Albuquerque Gladiators,2815,120.35350000000012,0.3181678333333332,0.39415566666666685,1.290492857142857,2.095875,4.187870885192081,0.8406828373582996,1.3982896186976743,0.7123235000000001
Alton Drew,AAA,ALB,P,100,25,17.0,59.0,89.0,78.0,63.0,69.0,40.0,48.0,72.0,68.0,53.0,45.0,0.0,$57K  57000,Albuquerque Gladiators,2815,112.36416666666678,0.32177466666666665,0.4279750000000002,1.3698800000000002,1.9435166666666668,4.533996672962784,0.7135048271016821,1.542869959845993,0.7497496666666669
Andre Lee,AAA,ALB,P,100,24,40.0,75.0,49.0,68.0,64.0,60.0,82.0,42.0,79.0,66.0,50.0,0.0,0.0,$55K  54500,Albuquerque Gladiators,2815,71.61116666666663,0.3431600000000002,0.44248133333333345,1.4413333333333336,2.0494333333333343,4.703245156687381,0.060374311400567614,0.10507386515239356,0.7856413333333336
Arthur Devereaux,AAA,ALB,P,100,24,25.0,82.0,91.0,76.0,50.0,68.0,18.0,81.0,86.0,67.0,55.0,46.0,47.0,$55K  54500,Albuquerque Gladiators,2815,136.3837666666668,0.33789666666666657,0.4227353333333334,1.4676999999999998,1.9730499999999997,4.5667043094474336,0.5718984750145041,0.9958200783691474,0.760632
Billy Price,AAA,ALB,P,100,32,35.0,98.0,29.0,42.0,81.0,76.0,27.0,72.0,72.0,70.0,73.0,43.0,0.0,$55K  54500,Albuquerque Gladiators,2815,66.888,0.35754633333333335,0.40044266666666667,1.6185833333333328,1.382400000000001,5.197116212233737,-0.14928951982282726,-0.2712038719408151,0.757989
Bobby Cintron,HiA,ALB,P,100,23,75.0,74.0,20.0,77.0,33.0,37.0,17.0,35.0,65.0,63.0,0.0,0.0,0.0,$27K  26250,Albuquerque Gladiators,2815,58.18699999999996,0.3788866666666667,0.5243599999999998,1.8194916666666672,2.1963999999999997,5.885954457715713,-0.7110717806744237,-1.4924799171324417,0.9032466666666665
Bobby Hamilton,AA,ALB,P,100,24,78.0,83.0,40.0,86.0,46.0,63.0,56.0,50.0,77.0,53.0,0.0,0.0,0.0,$38K  37500,Albuquerque Gladiators,2815,74.78100000000002,0.33354761904761915,0.4427836666666666,1.4535500000000006,2.394300000000001,4.529089880538668,0.06254833875580433,-0.1577979766874968,0.7763312857142857
