Rank,Player,Pos,Bats,Throws,Age,Durability,Stamina,Control,vLH,vRH,Velocity,Groundball,Pitch1,Pitch2,Pitch3,Pitch4,Pitch5,OVR,Range,Glove,ArmStrength,ArmAccuracy,PitchCalling,Health,Speed,Patience,Temper,Makeup,xIP,xOBP,xSLG,xWHIP,xSO/BB,xFIP,xWARd,xWARs,xOPS
341,"Ackley, Ray",P,R,R,21,67,19,57,53,30,26,65,73,39,56,0,0,44,60,22,41,30,28,43,61,84,51,56,66.73433333333331,0.354165,0.5622999999999997,1.650949999999999,1.870070000000001,5.693853677463061,-0.272837970655154,-1.0965292504056743,0.9164649999999996
312,"Adams, Derrin",P,R,R,19,60,43,47,50,27,42,13,64,40,42,0,0,46,34,26,34,42,21,71,48,34,45,83,84.15233333333333,0.37069250000000004,0.57416,1.7219249999999997,1.7771633333333339,5.661663177598615,-0.7310710750142191,-1.0331734414352867,0.9448525000000001
275,"Adrianza, Rio",P,R,R,20,36,82,35,18,28,49,44,82,72,50,27,0,48,36,23,25,49,28,82,47,29,52,79,117.1183333333334,0.40571266666666683,0.52761,1.9048666666666663,1.1819000000000006,6.334779977355928,-0.9716921682646833,-3.1359148970501765,0.9333226666666669
404,"Allen, Clark",P,S,R,21,75,19,35,8,30,56,75,75,43,31,0,0,37,32,6,39,32,24,98,31,90,45,51,60.77123333333333,0.39835999999999994,0.5790299999999998,1.9697,1.1305499999999995,6.382462612761937,-0.26202163322933764,-1.0608867006532308,0.9773899999999998
372,"Alonso, Josmil",P,L,L,21,36,23,26,43,54,44,56,94,56,38,21,0,41,0,28,38,34,52,43,31,90,56,63,64.40199999999997,0.40936000000000006,0.44264749999999997,1.835483333333334,0.8344000000000001,6.307808578067819,-0.45897531027696153,-1.3272936160047926,0.8520075
393,"Amaral, Teodoro",P,R,R,19,5,68,26,19,36,81,58,65,83,22,45,27,39,44,31,60,24,0,100,12,74,19,94,99.54512500000006,0.4227958333333337,0.507211666666667,2.039320000000001,0.9014999999999995,6.266161363889762,-0.9419631442901444,-1.8136363343314452,0.9300075000000007
253,"Aquino, Fautino",P,R,R,19,68,29,79,22,23,87,62,75,69,0,0,0,49,25,29,70,53,0,65,18,62,10,93,70.35533333333336,0.3676499999999999,0.5472496666666669,1.6694500000000003,2.254111111111111,4.872876804736964,-0.11063712316932599,-0.4059457761920308,0.9148996666666668
430,"Avery, Tanyon",P,L,L,21,38,23,46,13,25,56,31,53,65,33,0,0,32,57,4,21,47,0,66,36,77,18,77,62.24999999999997,0.385228,0.5706700000000002,1.9474949999999993,1.6986999999999992,5.8337712624296065,-0.30414473670275993,-0.9194537628843296,0.9558980000000002
364,"Axford, Leo",P,L,L,22,55,17,77,33,22,14,65,76,72,0,0,0,42,46,37,42,51,0,75,24,74,18,100,49.397499999999965,0.35825,0.49038999999999994,1.6736800000000003,2.177800000000001,5.716050690901212,-0.28982435567294695,-0.7315299393281213,0.84864
408,"Barkett, Adrian",P,R,R,20,13,74,42,17,16,45,40,64,67,46,23,2,36,26,24,34,31,0,71,36,88,19,83,98.30991666666668,0.3953206666666668,0.5439600000000002,1.9502633333333328,1.2764000000000006,5.869611671362667,-0.23705931905181377,-3.121585379244506,0.9392806666666671
274,"Barney, Fred",P,R,R,20,62,30,88,37,32,42,8,60,75,17,0,0,48,3,14,27,71,0,74,40,58,52,64,66.48228333333333,0.3604,0.5013000000000001,1.6403000000000003,2.734866666666666,4.816476414594502,-0.20193777057181353,-0.6924138747715296,0.8617000000000001
